filename,abstract_domain,passed_cases,test_cases,percent_passed,constrained_instructions,total_instructions,percent_constrained
address.wast,Polka,255,255,100.0,150,260,57.7
align.wast,Polka,48,48,100.0,429,483,88.8
binary-leb128.wast,Polka,0,0,100.0,14,14,100.0
block.wast,Polka,52,52,100.0,394,396,99.5
br.wast,Polka,76,76,100.0,266,266,100.0
br_if.wast,Polka,88,88,100.0,390,390,100.0
br_table.wast,Polka,138,138,100.0,437,437,100.0
call.wast,Polka,70,70,100.0,354,387,91.5
call_indirect.wast,Polka,120,120,100.0,361,427,84.5
comments.wast,Polka,0,0,100.0,4,4,100.0
const.wast,Polka,300,300,100.0,604,604,100.0
conversions.wast,Polka,593,593,100.0,75,103,72.8
custom.wast,Polka,0,0,100.0,4,4,100.0
data.wast,Polka,0,0,100.0,51,51,100.0
elem.wast,Polka,13,13,100.0,127,127,100.0
endianness.wast,Polka,68,68,100.0,118,177,66.7
exports.wast,Polka,6,6,100.0,19,19,100.0
f32.wast,Polka,2500,2500,100.0,43,43,100.0
f32_bitwise.wast,Polka,360,360,100.0,14,14,100.0
f32_cmp.wast,Polka,2400,2400,100.0,28,28,100.0
f64.wast,Polka,2500,2500,100.0,43,43,100.0
f64_bitwise.wast,Polka,360,360,100.0,14,14,100.0
f64_cmp.wast,Polka,2400,2400,100.0,28,28,100.0
fac.wast,Polka,6,6,100.0,61,106,57.5
float_literals.wast,Polka,83,83,100.0,232,232,100.0
float_memory.wast,Polka,60,60,100.0,94,118,79.7
float_misc.wast,Polka,440,440,100.0,86,86,100.0
forward.wast,Polka,4,4,100.0,24,24,100.0
func.wast,Polka,96,96,100.0,305,305,100.0
func_ptrs.wast,Polka,25,25,100.0,44,44,100.0
global.wast,Polka,48,48,100.0,175,177,98.9
i32.wast,Polka,374,374,100.0,86,122,70.5
i64.wast,Polka,384,384,100.0,87,125,69.6
if.wast,Polka,123,123,100.0,553,564,98.0
imports_wasm2_compatible.wast,Polka,29,29,100.0,79,83,95.2
inline-module.wast,Polka,0,0,100.0,4,4,100.0
int_exprs.wast,Polka,89,89,100.0,224,288,77.8
int_literals.wast,Polka,30,30,100.0,68,68,100.0
labels.wast,Polka,25,25,100.0,206,248,83.1
left-to-right.wast,Polka,95,95,100.0,516,709,72.8
linking.wast,Polka,82,82,100.0,81,88,92.0
load.wast,Polka,37,37,100.0,128,201,63.7
local_get.wast,Polka,19,19,100.0,104,104,100.0
local_set.wast,Polka,19,19,100.0,128,128,100.0
local_tee.wast,Polka,55,55,100.0,360,362,99.4
memory.wast,Polka,45,45,100.0,103,134,76.9
memory_grow.wast,Polka,84,84,100.0,243,251,96.8
memory_redundancy.wast,Polka,4,4,100.0,55,66,83.3
memory_size.wast,Polka,36,36,100.0,24,24,100.0
memory_trap.wast,Polka,171,171,100.0,71,101,70.3
names.wast,Polka,482,482,100.0,971,971,100.0
nop.wast,Polka,83,83,100.0,318,324,98.1
return.wast,Polka,63,63,100.0,147,147,100.0
select.wast,Polka,94,94,100.0,269,269,100.0
skip-stack-guard-page.wast,Polka,0,0,100.0,4,4,100.0
stack.wast,Polka,5,5,100.0,37,73,50.7
start.wast,Polka,7,7,100.0,36,36,100.0
store.wast,Polka,9,9,100.0,56,56,100.0
switch.wast,Polka,26,26,100.0,76,78,97.4
table_wasm2_compatible.wast,Polka,0,0,100.0,4,4,100.0
token.wast,Polka,0,0,100.0,4,4,100.0
traps.wast,Polka,32,32,100.0,48,50,96.0
type.wast,Polka,0,0,100.0,4,4,100.0
unreachable.wast,Polka,63,63,100.0,53,53,100.0
unreached-invalid_wasm2_compatible.wast,Polka,0,0,100.0,4,4,100.0
unwind.wast,Polka,49,49,100.0,242,242,100.0
utf8-custom-section-id.wast,Polka,0,0,100.0,4,4,100.0
utf8-import-field.wast,Polka,0,0,100.0,4,4,100.0
utf8-import-module.wast,Polka,0,0,100.0,4,4,100.0
utf8-invalid-encoding.wast,Polka,0,0,100.0,4,4,100.0
address.wast,Octagon,255,255,100.0,150,260,57.7
align.wast,Octagon,48,48,100.0,429,483,88.8
binary-leb128.wast,Octagon,0,0,100.0,14,14,100.0
block.wast,Octagon,43,44,97.7,309,311,99.4
br.wast,Octagon,30,31,96.8,96,96,100.0
br_if.wast,Octagon,8,9,88.9,49,49,100.0
br_table.wast,Octagon,42,43,97.7,87,87,100.0
call.wast,Octagon,17,18,94.4,86,86,100.0
call_indirect.wast,Octagon,17,18,94.4,128,128,100.0
comments.wast,Octagon,0,0,100.0,4,4,100.0
const.wast,Octagon,300,300,100.0,604,604,100.0
conversions.wast,Octagon,593,593,100.0,75,103,72.8
custom.wast,Octagon,0,0,100.0,4,4,100.0
data.wast,Octagon,0,0,100.0,30,30,100.0
elem.wast,Octagon,13,13,100.0,127,127,100.0
endianness.wast,Octagon,68,68,100.0,118,177,66.7
exports.wast,Octagon,6,6,100.0,19,19,100.0
f32.wast,Octagon,2500,2500,100.0,43,43,100.0
f32_bitwise.wast,Octagon,360,360,100.0,14,14,100.0
f32_cmp.wast,Octagon,2400,2400,100.0,28,28,100.0
f64.wast,Octagon,2500,2500,100.0,43,43,100.0
f64_bitwise.wast,Octagon,360,360,100.0,12,14,85.7
f64_cmp.wast,Octagon,2400,2400,100.0,28,28,100.0
fac.wast,Octagon,0,1,0.0,16,16,100.0
float_literals.wast,Octagon,83,83,100.0,232,232,100.0
float_memory.wast,Octagon,60,60,100.0,94,118,79.7
float_misc.wast,Octagon,440,440,100.0,86,86,100.0
forward.wast,Octagon,4,4,100.0,24,24,100.0
func.wast,Octagon,96,96,100.0,305,305,100.0
func_ptrs.wast,Octagon,25,25,100.0,44,44,100.0
global.wast,Octagon,0,0,100.0,16,16,100.0
i32.wast,Octagon,374,374,100.0,86,122,70.5
i64.wast,Octagon,384,384,100.0,87,125,69.6
if.wast,Octagon,0,1,0.0,9,9,100.0
imports_wasm2_compatible.wast,Octagon,0,1,0.0,17,17,100.0
inline-module.wast,Octagon,0,0,100.0,4,4,100.0
int_exprs.wast,Octagon,89,89,100.0,224,288,77.8
int_literals.wast,Octagon,30,30,100.0,68,68,100.0
labels.wast,Octagon,25,25,100.0,206,248,83.1
left-to-right.wast,Octagon,95,95,100.0,516,709,72.8
linking.wast,Octagon,14,15,93.3,27,27,100.0
load.wast,Octagon,11,12,91.7,42,68,61.8
local_get.wast,Octagon,19,19,100.0,104,104,100.0
local_set.wast,Octagon,19,19,100.0,128,128,100.0
local_tee.wast,Octagon,15,16,93.8,72,72,100.0
memory.wast,Octagon,45,45,100.0,103,134,76.9
memory_grow.wast,Octagon,58,59,98.3,114,120,95.0
memory_redundancy.wast,Octagon,4,4,100.0,55,66,83.3
memory_size.wast,Octagon,36,36,100.0,24,24,100.0
memory_trap.wast,Octagon,171,171,100.0,71,101,70.3
names.wast,Octagon,482,482,100.0,971,971,100.0
nop.wast,Octagon,7,8,87.5,27,27,100.0
return.wast,Octagon,30,31,96.8,69,69,100.0
select.wast,Octagon,0,1,0.0,10,10,100.0
skip-stack-guard-page.wast,Octagon,0,0,100.0,4,4,100.0
stack.wast,Octagon,0,1,0.0,13,13,100.0
start.wast,Octagon,7,7,100.0,36,36,100.0
store.wast,Octagon,9,9,100.0,56,56,100.0
switch.wast,Octagon,26,26,100.0,76,78,97.4
table_wasm2_compatible.wast,Octagon,0,0,100.0,4,4,100.0
token.wast,Octagon,0,0,100.0,4,4,100.0
traps.wast,Octagon,32,32,100.0,48,50,96.0
type.wast,Octagon,0,0,100.0,4,4,100.0
unreachable.wast,Octagon,29,30,96.7,27,27,100.0
unreached-invalid_wasm2_compatible.wast,Octagon,0,0,100.0,4,4,100.0
unwind.wast,Octagon,49,49,100.0,242,242,100.0
utf8-custom-section-id.wast,Octagon,0,0,100.0,4,4,100.0
utf8-import-field.wast,Octagon,0,0,100.0,4,4,100.0
utf8-import-module.wast,Octagon,0,0,100.0,4,4,100.0
utf8-invalid-encoding.wast,Octagon,0,0,100.0,4,4,100.0
address.wast,Box,255,255,100.0,150,260,57.7
align.wast,Box,48,48,100.0,429,483,88.8
binary-leb128.wast,Box,0,0,100.0,14,14,100.0
block.wast,Box,52,52,100.0,394,396,99.5
br.wast,Box,76,76,100.0,266,266,100.0
br_if.wast,Box,88,88,100.0,390,390,100.0
br_table.wast,Box,138,138,100.0,437,437,100.0
call.wast,Box,70,70,100.0,354,387,91.5
call_indirect.wast,Box,120,120,100.0,361,427,84.5
comments.wast,Box,0,0,100.0,4,4,100.0
const.wast,Box,300,300,100.0,604,604,100.0
conversions.wast,Box,593,593,100.0,75,103,72.8
custom.wast,Box,0,0,100.0,4,4,100.0
data.wast,Box,0,0,100.0,51,51,100.0
elem.wast,Box,13,13,100.0,127,127,100.0
endianness.wast,Box,68,68,100.0,117,177,66.1
exports.wast,Box,6,6,100.0,19,19,100.0
f32.wast,Box,2500,2500,100.0,43,43,100.0
f32_bitwise.wast,Box,360,360,100.0,14,14,100.0
f32_cmp.wast,Box,2400,2400,100.0,28,28,100.0
f64.wast,Box,2500,2500,100.0,43,43,100.0
f64_bitwise.wast,Box,360,360,100.0,14,14,100.0
f64_cmp.wast,Box,2400,2400,100.0,28,28,100.0
fac.wast,Box,6,6,100.0,57,106,53.8
float_literals.wast,Box,83,83,100.0,232,232,100.0
float_memory.wast,Box,60,60,100.0,94,118,79.7
float_misc.wast,Box,440,440,100.0,86,86,100.0
forward.wast,Box,4,4,100.0,24,24,100.0
func.wast,Box,96,96,100.0,305,305,100.0
func_ptrs.wast,Box,25,25,100.0,44,44,100.0
global.wast,Box,48,48,100.0,175,177,98.9
i32.wast,Box,374,374,100.0,86,122,70.5
i64.wast,Box,384,384,100.0,87,125,69.6
if.wast,Box,123,123,100.0,552,564,97.9
imports_wasm2_compatible.wast,Box,29,29,100.0,79,83,95.2
inline-module.wast,Box,0,0,100.0,4,4,100.0
int_exprs.wast,Box,89,89,100.0,224,288,77.8
int_literals.wast,Box,30,30,100.0,68,68,100.0
labels.wast,Box,25,25,100.0,206,248,83.1
left-to-right.wast,Box,95,95,100.0,516,709,72.8
linking.wast,Box,82,82,100.0,81,88,92.0
load.wast,Box,37,37,100.0,128,201,63.7
local_get.wast,Box,19,19,100.0,104,104,100.0
local_set.wast,Box,19,19,100.0,128,128,100.0
local_tee.wast,Box,55,55,100.0,360,362,99.4
memory.wast,Box,45,45,100.0,103,134,76.9
memory_grow.wast,Box,84,84,100.0,243,251,96.8
memory_redundancy.wast,Box,4,4,100.0,55,66,83.3
memory_size.wast,Box,36,36,100.0,24,24,100.0
memory_trap.wast,Box,171,171,100.0,71,101,70.3
names.wast,Box,482,482,100.0,971,971,100.0
nop.wast,Box,83,83,100.0,318,324,98.1
return.wast,Box,63,63,100.0,147,147,100.0
select.wast,Box,94,94,100.0,269,269,100.0
skip-stack-guard-page.wast,Box,0,0,100.0,4,4,100.0
stack.wast,Box,5,5,100.0,37,73,50.7
start.wast,Box,7,7,100.0,36,36,100.0
store.wast,Box,9,9,100.0,56,56,100.0
switch.wast,Box,26,26,100.0,76,78,97.4
table_wasm2_compatible.wast,Box,0,0,100.0,4,4,100.0
token.wast,Box,0,0,100.0,4,4,100.0
traps.wast,Box,32,32,100.0,48,50,96.0
type.wast,Box,0,0,100.0,4,4,100.0
unreachable.wast,Box,63,63,100.0,53,53,100.0
unreached-invalid_wasm2_compatible.wast,Box,0,0,100.0,4,4,100.0
unwind.wast,Box,49,49,100.0,242,242,100.0
utf8-custom-section-id.wast,Box,0,0,100.0,4,4,100.0
utf8-import-field.wast,Box,0,0,100.0,4,4,100.0
utf8-import-module.wast,Box,0,0,100.0,4,4,100.0
utf8-invalid-encoding.wast,Box,0,0,100.0,4,4,100.0
